연,월,일,커뮤니티(오르비),타사명/키워드(크롤링 단어),제목,본문(내용),URL
2026,3,3,오르비,러셀,"잇올,시대,러셀6모 이후 재수 관독 얼마인가요?","6모 끝나고 수업 안듣고 관리형독서실처럼 자습만 하고 분위기 잡아주는데 갈려고합니다.
잇올,시대,러셀 등등 한 달에 얼마정도 하나요?",https://orbi.kr/00077780471/%EC%9E%87%EC%98%AC%2C%EC%8B%9C%EB%8C%80%2C%EB%9F%AC%EC%85%80-6%EB%AA%A8-%EC%9D%B4%ED%9B%84-%EC%9E%AC%EC%88%98-%EA%B4%80%EB%8F%85-%EC%96%BC%EB%A7%88%EC%9D%B8%EA%B0%80%EC%9A%94%3F
2026,3,3,오르비,러셀,러셀의 역설 해결함,"자기자신을 원소로 포함하지 않는 집합을 포함하는 집합
이게 모순이란건데,
∈ 대신 ⊆를 쓰면 해결됨
u ⊆ u 이기 때문에,
u ⊆ X <-> u ⊆ u
자기자신을 부분집합으로 포함하는 집합을 부분집합으로 포함하는집합
X ⊆ X <-> X ⊆ X
가 되어서 모순이 없어짐",https://orbi.kr/00077781322/%EB%9F%AC%EC%85%80%EC%9D%98-%EC%97%AD%EC%84%A4-%ED%95%B4%EA%B2%B0%ED%95%A8
2026,3,3,오르비,러셀,[필독] 새로운 쿠쿠리 집합론,"철수 ∈ 1반 ∈ 학교
라고하면 ""철수 ∈ 학교"" 는 성립안함
이건 인간의 직관에 반함
따라서
철수 ⊆ 1반 ⊆ 학교
이렇게 표현할거임 모든 원소의 포함표기를 부분집합의 포함표기를 쓸것임
즉,
∈를 버리고 ⊆를 씀
이 러셀의 역설을 쿠쿠리 집합론에 적용시 모순이 생기는가 보겠음
u ⊆ X <-> u ⊄ u
자기자신을 부분집합으로 포함하지않는 집합은 없음, 왜냐하면 모든 집합은 자기자신을 부분집합으로 가지기 때문임
따라서 u는 존재하지 않음.
존재하지 않는 u는 X의 부분집합이 될수가 없음
따라서
u ⊆ X <-> u ⊄ u
의 우변이 거짓이고, 좌변도 거짓이라서 동치가 성립하고 러셀의 모순은 해결됨..
요약
1. 원소란 개념을 없애고, 모든것이 집합임
2. 기존의 원소포함관계기호 ∈를 부분집합포함관계기호 ⊆로 대체함
3. 러셀의 역설 해결성공
4. 철수 ∈ 학교라는 인간의 전이성에 대한 직관을 수호함",https://orbi.kr/00077781923/%5B%ED%95%84%EB%8F%85%5D-%EC%83%88%EB%A1%9C%EC%9A%B4-%EC%BF%A0%EC%BF%A0%EB%A6%AC-%EC%A7%91%ED%95%A9%EB%A1%A0
2026,3,3,오르비,대성,작수 22211 반수생인데 11111 하는 커리,"질문글임
22211 => 11111 하려면 뭘 해야할지 잘 모르겠음..
1. 개념부터 다시 시작해야돼?
2. 기출 무한반복부터 할까?
3. 인강 아예 안들어도 되나? 메가대성 결제안함 들어도 ebs
4. N제 실모는 언제부터 할까?
혼자 학교 다니면서 하려니까 막막하네
내 수준도 잘 모르겠고 뭘 해야할지 모르겠는 상태임
일단 수학 벅벅 푸는중
언매 미적 영어 한지 지구1",https://orbi.kr/00077781416/%EC%9E%91%EC%88%98-22211-%EB%B0%98%EC%88%98%EC%83%9D%EC%9D%B8%EB%8D%B0-11111-%ED%95%98%EB%8A%94-%EC%BB%A4%EB%A6%AC
2026,3,3,오르비,대성,"[대성마이맥]★스타강사코리아6★ 대한민국 대표강사 공개선발! 총상금 2억원, 그 이상의 가치에 도전하세요.","오직, 당신의 클래스로
차이를 증명하세요.
대한민국 대표강사 공개선발
스타강사코리아6
2021년부터 시작된 강사 공개선발,
스타강사코리아
를 통해 선발 된 57명의 강사들이
현재 대성마이맥, 강남대성, 두각에서 활동하고 있습니다.
접수기간
2026
년 3월 1일 - 3월 31일
상금 및 특전
총 상금 2억원,
대성마이맥 강의 런칭,
강남 대성/두각 학원 출강
지원자격
22
세~38세(1988-2004년 출생)
선발과목
국어, 수학, 영어, 한국사, 통합사회, 통합과학, 논술, 입시컨설팅
선발방식
과목별 상이
당신의 도전, 변화의 시작이 됩니다.
스타강사코리아6
지금 바로 도전하세요!
PC
바로가기
MO
바로가기",https://orbi.kr/00077781952/%5B%EB%8C%80%EC%84%B1%EB%A7%88%EC%9D%B4%EB%A7%A5%5D%E2%98%85%EC%8A%A4%ED%83%80%EA%B0%95%EC%82%AC%EC%BD%94%EB%A6%AC%EC%95%846%E2%98%85-%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD-%EB%8C%80%ED%91%9C%EA%B0%95%EC%82%AC-%EA%B3%B5%EA%B0%9C%EC%84%A0%EB%B0%9C%21-%EC%B4%9D%EC%83%81%EA%B8%88-2%EC%96%B5%EC%9B%90%2C-%EA%B7%B8-%EC%9D%B4%EC%83%81%EC%9D%98-%EA%B0%80%EC%B9%98%EC%97%90-%EB%8F%84%EC%A0%84%ED%95%98%EC%84%B8%EC%9A%94
2026,3,3,오르비,대성,6수쯤되면 걍 독학하는게 낫겠죠,"수능보지말란 나쁜말은 ㄴㄴㄴㄴㄴ
시대재종 강대재종 단과 대성 메가 들어볼건 다 들어본거 같은데 문제는 제대로 따라간적은 거의 없긴함 ㄹㅇ 찍먹튀만 쥰내함...
등급은 수학1 나머지 2 국어는 2~4..인데
걍 독학하다가 필요한 것만 들을까요ㅠ아니면 겸손하게 개념강의부터 완강 ㄱㄱ? 대신 순공을 많이 포기해야됨..ㅜ",https://orbi.kr/00077783558/6%EC%88%98%EC%AF%A4%EB%90%98%EB%A9%B4-%EA%B1%8D-%EB%8F%85%ED%95%99%ED%95%98%EB%8A%94%EA%B2%8C-%EB%82%AB%EA%B2%A0%EC%A3%A0
2026,3,3,오르비,대성,08 수학,"안녕하세요 08현역으로 수능 준비중입니다.수학은 4등급 정도이구요 현재 대성패스만 보유중이라 수능실전 개념 김범준의 스타팅 블록을 듣고있는데 설명은 너무 잘하시지만 문제가 너무 어렵기도하고 4점~킬러 문제들이 좀 많다고 느껴 버거운 감이 없지않아 있습니다 주변에선 체화만 잘하면 어떻게든 성적은 오른다 하여서 듣고 있긴 한데 메가스터디에 김기현 선생님 아이디어만 사서 갈아탈지 고민중입니다 어떤게 더 나을까요 ㅜㅜ
김기현T 아이디어로 갈아탄다
최대 1개 선택 / ~2026-03-10 18:51:25
O
X
투표하기",https://orbi.kr/00077783981/08-%EC%88%98%ED%95%99
2026,3,3,오르비,대성,"공통 1,2 뉴런vs프메","공통 실전개념들어가려는데 뉴런하고 프메중에 뭐가 더 낳음?
패스는 메가,대성 둘다 있는데
뉴런 vs프메
최대 1개 선택 / ~2026-03-10 20:58:36
뉴런
프메
투표하기",https://orbi.kr/00077785091/%EA%B3%B5%ED%86%B5-1%2C2-%EB%89%B4%EB%9F%B0vs%ED%94%84%EB%A9%94
2026,3,3,오르비,대성,반수생 수학 커리 평가,"이번에 수리논술 노려보는 반수생입니다
공통에서 15, 21, 22 미적에서 28, 29, 30 틀리는 실력이었습니다 현재 대성패스를 사놓은 상태입니다
수능 끝나고 공부를 놓아서 기억이 잘 안 납니다
한완수 교과개념편만으로 다시 개념 잡고 스블 들어가는 거 어떤가요?
스블 바로 하기엔 기억도 안 나고 빡세겠죠?
한완수(교과)+스블 어때?
최대 1개 선택 / ~2026-03-10 22:53:59
굳
낫배드
별로야
투표하기",https://orbi.kr/00077786340/%EB%B0%98%EC%88%98%EC%83%9D-%EC%88%98%ED%95%99-%EC%BB%A4%EB%A6%AC-%ED%8F%89%EA%B0%80
2026,3,3,오르비,대성,대성학원생대성패스,대성학원생은 인강패스 24만원이던데 이거 사고 학원 끊어도 계속 들을 수 있나요?,https://orbi.kr/00077787027/%EB%8C%80%EC%84%B1%ED%95%99%EC%9B%90%EC%83%9D-%EB%8C%80%EC%84%B1%ED%8C%A8%EC%8A%A4
2026,3,3,오르비,대성,성대 > 고대,"성대 > 고대
겠냐
1. 그 학교와 학과의 가치는 구축된 인프라의 영향을 받는다.
- 즉 성대가 서울대급의 입결이 된다고 해도 고대의 인프라를 잡는 것은 수십년이 걸릴 것이기에, 고대가 훨씬 우위다.
2. 빵꾸 뚫리는 것은 그 학과 아이들에게 전부 이득이다.
- 낮은 점수로 들어온 애 > 가치주를 저점매수한 꼴
- 일반적인 점수로 들어온 애 > 확정 할 수 없지만 꼬리로 들어온 애는 학습능력, 노력 측면에서 상대적으로 떨어질 것임.
자기가 좋은 거 다 가져가고 그 애는 학점깔개로 사용하면 됨.
예) 나는 유학티오, 대기업 티오 먹고 꼬리 새끼 ㅈ소로 보내면 됨.
성대가 입결이 고대보다 높다고 우리가 공부를 잘했으니 좋은 것이다?
- 주변에 사회적으로 성공한 사람이 없음 + 사회가 돌아가는 방식을 모름 + 수능,내신 공부만 함
이 3가지가 복합되어 무지한 소리를 하는 것임.
이런 소리하는 사람보고 진짜
공부만 하는 애들이 진짜 시야가 좁다는 거 느낌
하지만 성대도, 삼성의 지원을 받기에 공학, 약학, 의학, 인문계열 전부 좋은 학교입니다. 제 주변 사람이 성대 갔다고 하면 진짜 칭찬해주고 친하게 지냅니다.
그리고 점차 인프라가 커지기에 우리 세대가 졸업할 때는 ky 급의 위상이 될 수도 있다고 생각하지만 지금으로서는 그렇다 이거죠..성대 일반과도 진짜 좋다고 생각합니다
김범준 스블 이채연 중앙대 고대 이미지 이명학 이투스 메가 대성 미미미누 시대인재 라이브 이투스 현우진 조정식 강민철 강평 김승리 헬스터디 중경외시 중시경건 건동홍 외동홍 국숭세단 숭국세단 국숭세곽 광명상가 국민대 이채연 김범준 중대 서성한 수학 미카리 스블 삼수 고대 확통 시립 현수 헬스터디 점공컷 등록 추합 예비 서울대 연세대 서강대 중대 고려대 숭실 계약 건대 충북 드릴 경희 한양대 뉴런 추합 고반 교대 의대 한의 치대 약대 수의대 강민철 김승리 메가 시대 대성 션티 김범준 현우진 김기현 team 07 team 08 team 06 team 05 학종 교과 설대식 지역인재 지역 재종 tca회로 샤가프 복추 복제추론 이빨복추 코돈 uaa 프로모터 시놉시스 어댑터 트레일러 하바베 하디바인베르크 제효 제한효소 유전자재조합 오페론 계통수 캔버스 기해분 엣지 리바이벌 플로우 마더텅 쎈 라쎈 쎈발점 시발점 자이스토리 기출 n제 실모 담요단 실모단 이대 이화여대 숙대 변표 만표 만백 과외 미미미누 유빈 헬스터디 n수의신 5수 윤도영 올어바웃 지솦 시스템 반도체 자전 ai 사이언스 창의ict 언더우드 미래캠 세",https://orbi.kr/00077787068/%EC%84%B1%EB%8C%80-%3E-%EA%B3%A0%EB%8C%80
2026,3,3,오르비,이투스,이투스247 다녀본 사람,성적표 부모님한테 문자감?,https://orbi.kr/00077783299/%EC%9D%B4%ED%88%AC%EC%8A%A4247-%EB%8B%A4%EB%85%80%EB%B3%B8-%EC%82%AC%EB%9E%8C
2026,3,3,오르비,이투스,이투스에는 좀 유명한 인강 뭐 있음?,생각나는건 개때잡이랑 훈련도감밖에 없는데,https://orbi.kr/00077783733/%EC%9D%B4%ED%88%AC%EC%8A%A4%EC%97%90%EB%8A%94-%EC%A2%80-%EC%9C%A0%EB%AA%85%ED%95%9C-%EC%9D%B8%EA%B0%95-%EB%AD%90-%EC%9E%88%EC%9D%8C%3F
2026,3,3,오르비,메가,오늘부터 신청하는 2026메가패스 환급,3월 31일 까지라니 받을 수 있다면 받읍시다.,https://orbi.kr/00077778593/%EC%98%A4%EB%8A%98%EB%B6%80%ED%84%B0-%EC%8B%A0%EC%B2%AD%ED%95%98%EB%8A%94-2026%EB%A9%94%EA%B0%80%ED%8C%A8%EC%8A%A4-%ED%99%98%EA%B8%89
2026,3,3,오르비,메가,영어 인강강사 선택,"메가스터디 김지영 올인원 베이직
또선생 점진적 독해
김기철 문해원 듣고 있는데 고1인데 영어가 부족해서 여러 강사들을 한 번에 들어도 괜찮나요
학평 80점 내외 고1에게 추천하는 인강 있나요",https://orbi.kr/00077780995/%EC%98%81%EC%96%B4-%EC%9D%B8%EA%B0%95%EA%B0%95%EC%82%AC-%EC%84%A0%ED%83%9D
2026,3,3,오르비,메가,킥오프 대신 할 거 ㅊㅊ 받을 수 있을까요?,"뉴스타트 그걸로 메가패스 끊었더니 킥오프는 들을 수가 없다해서요
지금 파데하고 있습니다..",https://orbi.kr/00077781984/%ED%82%A5%EC%98%A4%ED%94%84-%EB%8C%80%EC%8B%A0-%ED%95%A0-%EA%B1%B0-%E3%85%8A%E3%85%8A-%EB%B0%9B%EC%9D%84-%EC%88%98-%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94%3F
2026,3,3,오르비,메가,형들메가스터디E분석노트 이거 사셨음??,수특으로 박석준쌤 강의따라서 듣고있는데 써보신분들 있으신가요?,https://orbi.kr/00077782515/%ED%98%95%EB%93%A4-%EB%A9%94%EA%B0%80%EC%8A%A4%ED%84%B0%EB%94%94E%EB%B6%84%EC%84%9D%EB%85%B8%ED%8A%B8-%EC%9D%B4%EA%B1%B0-%EC%82%AC%EC%85%A8%EC%9D%8C%3F%3F
2026,3,3,오르비,메가,재종,"수능 ㅈ박아서 재종 다닐려는데 집이랑 가까운게 메가랑 종로 청솔 그정도 인듯?
여기서 노베한테는 어디가 ㄱㅊ음?",https://orbi.kr/00077782519/%EC%9E%AC%EC%A2%85
2026,3,3,오르비,메가,문학 인강 추천해주세요,문학 인강 들으려고 하는데 인강 추천해주세요 유대종 선생님 문학은 괜찮은가요? 메가에 김상훈 선생님은 괜찮다 본거 같은데 고민이라서요,https://orbi.kr/00077783255/%EB%AC%B8%ED%95%99-%EC%9D%B8%EA%B0%95-%EC%B6%94%EC%B2%9C%ED%95%B4%EC%A3%BC%EC%84%B8%EC%9A%94
